기간,자치구,동,평균연령,남자,여자
2016,성북구,삼선동,41.5,40.3,42.5
2016,성북구,동선동,39.8,40.1,39.6
2016,성북구,종암동,40.8,39.5,42.1
2016,성북구,석관동,43.3,42.3,44.3
2016,강북구,소계,43.5,42.3,44.6
2016,강북구,번1동,43.1,42.3,44
2016,강북구,번2동,44.6,42.8,46.3
2016,강북구,번3동,44.5,42.9,46
2016,강북구,수유1동,43.8,42.7,44.8
2016,강북구,수유2동,44.3,42.8,45.6
2016,강북구,수유3동,43.9,43,44.9
2016,강북구,삼양동,43,41.8,44.2
2016,강북구,미아동,43.7,42.8,44.7
2016,강북구,송중동,44.3,43.2,45.3
2016,강북구,송천동,44.7,43.8,45.7
2016,강북구,삼각산동,38.2,37.1,39.2
2016,강북구,우이동,44.4,43.1,45.7
2016,강북구,인수동,44.4,43.1,45.5
2016,도봉구,소계,42.4,41.4,43.5
2016,도봉구,쌍문1동,43.1,42.2,44
2016,도봉구,쌍문2동,42.7,41.2,44.1
2016,도봉구,쌍문3동,43.2,42.3,44.2
2016,도봉구,쌍문4동,40.8,39.8,41.7
2016,도봉구,방학1동,42.9,41.9,43.8
2016,도봉구,방학2동,43.6,42.2,45
2016,도봉구,방학3동,41.2,39.7,42.6
2016,도봉구,창1동,41.3,40.1,42.4
2016,도봉구,창2동,41.3,40.4,42.1
2016,도봉구,창3동,43,41.9,44.1
2016,도봉구,창4동,40.5,39.5,41.5
2016,도봉구,창5동,41.4,40.5,42.2
2016,도봉구,도봉1동,46,45.1,47.1
2016,도봉구,도봉2동,44.3,43.2,45.3
2016,노원구,소계,40.6,39.3,41.8
2016,노원구,월계1동,41.7,40.3,43.1
2016,노원구,월계2동,43.3,41.7,44.8
2016,노원구,월계3동,41.4,40,42.7
2016,노원구,공릉2동,38.6,37.7,39.4
2016,노원구,하계1동,40.7,38.3,42.9
2016,노원구,하계2동,39.4,38.1,40.5
2016,노원구,중계본동,38.3,37.6,39
2016,노원구,중계1동,36.8,35.6,37.8
2016,노원구,중계4동,41.6,39.8,43.2
2016,노원구,상계1동,41.7,40.8,42.6
2016,노원구,상계2동,41.5,40.7,42.2
2016,노원구,상계5동,43,41.6,44.3
2016,노원구,상계8동,36.5,35.3,37.5
2016,노원구,상계9동,39.8,38.4,41.2
2016,노원구,상계10동,40,38.6,41.2
2016,노원구,상계3.4동,44.8,43.4,46.3
2016,노원구,상계6.7동,39.3,38,40.5
2016,노원구,중계2.3동,42.1,40.2,43.8
2016,노원구,공릉1동,41.1,40.1,42
2016,은평구,소계,41.9,40.9,42.9
2016,은평구,녹번동,43,41.8,44.2
2016,은평구,불광1동,42.2,41.1,43.2
2016,은평구,갈현1동,42.6,41.3,43.9
2016,은평구,갈현2동,41.1,40,42.1
2016,은평구,구산동,42.3,42.4,42.3
2016,은평구,대조동,42.4,41.7,43
2016,은평구,응암1동,41.1,39.9,42.2
2016,은평구,응암2동,40.3,39,41.6
2016,은평구,신사1동,41.7,40.6,42.7
2016,은평구,신사2동,42,40.7,43.3
2016,은평구,증산동,42.9,42,43.8
2016,은평구,수색동,44.7,43.1,46.3
2016,은평구,진관동,38.8,37.8,39.7
2016,은평구,불광2동,43.9,42.6,45.2
2016,은평구,응암3동,44.3,42.7,45.8
2016,은평구,역촌동,41.3,40.3,42.3
2016,서대문구,소계,42.1,41,43.1
2016,서대문구,천연동,42,40.5,43.3
2016,서대문구,홍제1동,42.8,41.6,43.9
2016,서대문구,홍제3동,44.5,43.2,45.7
2016,서대문구,홍제2동,43,41.8,44.2
2016,서대문구,홍은1동,43.6,42.5,44.7
2016,서대문구,홍은2동,42.6,41.5,43.6
2016,서대문구,남가좌1동,38.3,37.7,38.8
2016,서대문구,남가좌2동,42.7,41.4,44
2016,서대문구,북가좌1동,40.4,39.5,41.4
2016,서대문구,북가좌2동,42.3,41.2,43.4
2016,서대문구,충현동,43.8,42.7,44.8
2016,서대문구,북아현동,42.2,41,43.3
2016,서대문구,신촌동,37.9,37.5,38.3
2016,서대문구,연희동,41.8,40.7,43
2016,마포구,소계,40.4,39.6,41.2
2016,마포구,용강동,39.2,38.4,39.8
2016,마포구,대흥동,42,41.4,42.6
2016,마포구,염리동,42.2,41.4,42.9
2016,마포구,신수동,40.5,39.4,41.6
2016,마포구,서교동,40.7,40.4,40.9
2016,마포구,합정동,39.7,38.8,40.4
2016,마포구,망원1동,41.5,40.6,42.4
2016,마포구,망원2동,40.7,39.9,41.4
2016,마포구,연남동,41.4,40.6,42.1
2016,마포구,성산1동,41.1,40.2,41.9
2016,마포구,성산2동,40.2,38.9,41.3
2016,마포구,상암동,37.6,36.8,38.4
2016,마포구,도화동,41.8,40.7,42.8
2016,마포구,서강동,39.2,38.4,39.9
2016,마포구,공덕동,41.9,41,42.8
2016,마포구,아현동,39.9,39.4,40.4
2016,양천구,소계,39.9,39,40.8
2016,양천구,목1동,37,36.7,37.3
2016,양천구,목2동,39.6,38.6,40.6
2016,양천구,목3동,40.8,39.4,42.1
2016,양천구,목4동,38.8,37.5,40.1
2016,양천구,신월1동,43,42.4,43.6
2016,양천구,신월2동,41.3,40.3,42.3
